date,open,close,high,low,volume,adjusted_close
2022-11-29,241.4,240.33,242.79,238.21,17956300,235.9764
2022-11-30,240.57,255.14,255.33,239.86,47594200,250.5182
2022-12-01,253.87,254.69,256.12,250.92,26041500,250.0763
2022-12-02,249.82,255.02,256.06,249.69,21528500,250.4003
2022-12-05,252.01,250.2,253.82,248.06,23435300,245.6677
2022-12-06,250.82,245.12,251.86,243.78,22463700,240.6797
2022-12-07,244.83,244.37,246.16,242.21,20481500,239.9433
2022-12-08,244.84,247.4,248.74,243.06,22611800,242.9184
2022-12-09,244.7,245.42,248.31,244.16,20609700,240.9742
2022-12-12,247.45,252.51,252.54,247.17,30665100,247.9358
2022-12-13,261.69,256.92,263.92,253.07,42196900,252.2659
2022-12-14,257.13,257.22,262.59,254.31,35410900,252.5605
2022-12-15,253.72,249.01,254.2,247.34,35560400,244.4992
2022-12-16,248.55,244.69,249.84,243.51,86102000,240.2575
2022-12-19,244.86,240.45,245.21,238.71,29696400,236.0943
2022-12-20,239.4,241.8,242.91,238.42,25150800,237.4198
2022-12-21,241.69,244.43,245.62,240.11,23690600,240.0022
2022-12-22,241.26,238.19,241.99,233.87,28651700,233.8752
2022-12-23,236.11,238.73,238.87,233.94,21207000,234.4054
2022-12-27,238.7,236.96,238.93,235.83,16688600,232.6675
2022-12-28,236.89,234.53,239.72,234.17,17457100,230.2815
2022-12-29,235.65,241.01,241.92,235.65,19770700,236.6441
2022-12-30,238.21,239.82,239.96,236.66,21938500,235.4757
2023-01-03,243.08,239.58,245.75,237.4,25740000,235.24
2023-01-04,232.28,229.1,232.87,225.96,50623400,224.9499
2023-01-05,227.2,222.31,227.55,221.76,39585600,218.2829
2023-01-06,223.0,224.93,225.76,219.35,43613600,220.8554
2023-01-09,226.45,227.12,231.24,226.41,27369800,223.0057
2023-01-10,227.76,228.85,231.31,227.33,27033900,224.7044
2023-01-11,231.29,235.77,235.95,231.11,28669300,231.4991
2023-01-12,235.26,238.51,239.9,233.56,27269500,234.1894
2023-01-13,237.0,239.23,239.37,234.92,21333300,234.8964
2023-01-17,237.97,240.35,240.91,237.09,29831300,235.9961
2023-01-18,241.57,235.81,242.38,235.52,30028700,231.5383
2023-01-19,233.78,231.93,235.52,230.68,28623000,227.7286
2023-01-20,234.86,240.22,240.74,234.51,35389800,235.8684
2023-01-23,241.1,242.58,245.17,239.65,31934000,238.1857
2023-01-24,242.5,242.04,243.95,240.44,40234400,237.6555
2023-01-25,234.48,240.61,243.3,230.9,66526600,236.2514
2023-01-26,243.65,248.0,248.31,242.0,33454500,243.5075
2023-01-27,248.99,248.16,249.83,246.83,26498900,243.6646
2023-01-30,244.51,242.71,245.6,242.2,25867400,238.3133
2023-01-31,243.45,247.81,247.95,242.95,26541100,243.3209
2023-02-01,248.0,252.75,255.18,245.47,31259900,248.1715
2023-02-02,258.82,264.6,264.69,257.25,39940400,259.8068
2023-02-03,259.54,258.35,264.2,257.1,29077300,253.67
2023-02-06,257.44,256.77,258.3,254.78,22518000,252.1186
2023-02-07,260.53,267.56,268.77,260.08,50841400,262.7132
2023-02-08,273.2,266.73,276.76,266.21,54686000,261.8982
2023-02-09,273.8,263.62,273.98,262.8,42375100,258.8446
2023-02-10,261.53,263.1,264.09,260.66,25818500,258.334
2023-02-13,267.64,271.32,274.6,267.15,44630900,266.4051
2023-02-14,272.67,272.17,274.97,269.28,37047900,267.2397
2023-02-15,268.32,269.32,270.73,266.18,28922400,265.1036
2023-02-16,264.02,262.15,266.74,261.9,29603600,258.0459
2023-02-17,259.39,258.06,260.09,256.0,30000100,254.0199
2023-02-21,254.48,252.67,255.49,251.59,28397400,248.7143
2023-02-22,254.09,251.51,254.34,250.34,22491100,247.5725
2023-02-23,255.56,254.77,256.84,250.48,29219100,250.7814
2023-02-24,249.96,249.22,251.0,248.1,24990900,245.3183
2023-02-27,252.46,250.16,252.82,249.39,21190000,246.2436
