date,open,close,high,low,volume,adjusted_close
2022-12-22,298.09,297.75,298.88,290.8131,7856192,297.75
2022-12-23,296.18,294.965,298.4614,291.91,4251108,294.965
2022-12-27,293.19,284.17,293.57,282.13,5778098,284.17
2022-12-28,281.92,276.88,285.19,273.41,5964369,276.88
2022-12-29,283.18,291.12,295.4999,281.01,9588527,291.12
2022-12-30,285.53,294.88,295.01,283.22,7566892,294.88
2023-01-03,298.06,294.95,298.39,288.7,6763964,294.95
2023-01-04,298.24,309.41,311.135,295.51,9345054,309.41
2023-01-05,307.0,309.7,314.18,304.545,8328390,309.7
2023-01-06,311.57,315.55,316.77,303.69,8959839,315.55
2023-01-09,316.83,315.17,321.7,313.22,6766628,315.17
2023-01-10,311.07,327.54,329.35,311.07,13072290,327.54
2023-01-11,326.5,327.26,328.88,321.35,9579681,327.26
2023-01-12,332.5,330.13,332.95,323.14,10856250,330.13
2023-01-13,329.97,332.82,336.65,328.885,8286816,332.82
2023-01-17,331.08,326.22,332.5,323.6,9246987,326.22
2023-01-18,326.75,326.33,330.08,321.25,7814115,326.33
2023-01-19,322.57,315.78,324.89,313.39,18008199,315.78
2023-01-20,336.79,342.5,344.0,332.625,28430340,342.5
2023-01-23,341.715,357.42,362.2453,340.6329,15646850,357.42
2023-01-24,357.53,363.83,365.65,355.1401,11796530,363.83
2023-01-25,360.57,367.96,368.8999,358.501,7766907,367.96
2023-01-26,368.77,364.87,369.02,361.7,8256844,364.87
2023-01-27,363.2,360.77,365.92,360.59,6703548,360.77
2023-01-30,358.44,353.11,360.95,352.855,5127593,353.11
2023-01-31,349.98,353.86,355.95,348.71,5660738,353.86
2023-02-01,353.86,361.99,365.385,349.91,8005170,361.99
2023-02-02,365.16,366.89,368.32,358.43,7856952,366.89
2023-02-03,359.08,365.9,379.4301,359.0,9402034,365.9
2023-02-06,363.642,361.48,368.45,360.68,4994942,361.48
2023-02-07,358.51,362.95,364.1799,354.18,6289368,362.95
2023-02-08,360.02,366.83,368.193,358.31,6253179,366.83
2023-02-09,372.41,362.5,373.83,361.7444,6901100,362.5
2023-02-10,359.16,347.36,362.14,347.14,7291096,347.36
2023-02-13,349.5,358.57,359.7034,344.25,7134445,358.57
2023-02-14,357.55,359.96,363.75,353.4,4624758,359.96
2023-02-15,356.63,361.42,362.88,354.24,3969945,361.42
2023-02-16,355.0,350.71,361.5,350.31,5215726,350.71
2023-02-17,347.905,347.96,349.0,342.44,5294727,347.96
2023-02-21,342.85,337.5,344.1253,336.4177,5710292,337.5
2023-02-22,337.5,334.88,341.91,332.82,4546249,334.88
2023-02-23,331.23,323.65,331.28,314.3,13238670,323.65
2023-02-24,319.3,317.15,321.5,314.52,6830692,317.15
2023-02-27,323.87,323.03,330.0,322.121,6142580,323.03
2023-02-28,323.7,322.13,327.62,321.17,3676075,322.13
2023-03-01,321.55,313.48,326.6,312.36,4911311,313.48
2023-03-02,310.96,311.88,315.57,310.38,4921053,311.88
2023-03-03,315.45,315.18,317.49,310.82,5953319,315.18
2023-03-06,317.0,312.03,323.3,311.8412,5660743,312.03
2023-03-07,312.675,308.47,314.3,306.6226,4553082,308.47
2023-03-08,309.29,311.79,311.83,305.75,3479474,311.79
2023-03-09,312.08,297.78,312.51,294.88,7443350,297.78
2023-03-10,297.905,292.76,298.79,289.0,5759315,292.76
2023-03-13,287.34,293.51,299.24,285.3301,6292385,293.51
2023-03-14,295.97,294.94,297.45,290.31,5956692,294.94
2023-03-15,292.51,303.79,306.31,292.28,9215340,303.79
2023-03-16,304.75,310.06,316.6,301.71,7912371,310.06
2023-03-17,310.06,303.5,310.76,300.0,6918777,303.5
2023-03-20,299.79,305.13,307.5,296.0,5113430,305.13
2023-03-21,306.32,305.79,307.92,300.43,4886279,305.79
2023-03-22,306.31,293.9,306.45,293.54,5808035,293.9
2023-03-23,304.68,320.37,322.78,304.14,15653350,320.37
2023-03-24,320.63,328.39,331.83,320.63,13004090,328.39
2023-03-27,327.55,327.66,336.44,324.41,8625763,327.66
2023-03-28,326.06,323.52,333.32,321.28,6489388,323.52
2023-03-29,326.29,332.03,332.85,325.73,6287336,332.03
2023-03-30,340.27,338.43,343.29,335.3,7131468,338.43
2023-03-31,340.05,345.48,345.84,337.2001,5610161,345.48
2023-04-03,341.83,348.28,348.58,340.4001,4413650,348.28
2023-04-04,348.49,346.75,349.8,343.95,3298072,346.75
2023-04-05,345.3,342.35,345.43,336.2526,4205545,342.35
2023-04-06,339.34,339.33,340.48,332.63,4660542,339.33
2023-04-10,335.27,338.99,339.88,333.36,2657898,338.99
