ticker,date,type,price,quantity,position_pct,commission,cash_after,shares_after,signal_date,signal_price
MSFT,2023-01-13,buy,232.70679597040507,1,100.0,0.99,45.048761534810325,411,2023-01-12,234.1894
MSFT,2023-01-20,sell,230.60549672799934,411,-100.0,2.0139,94821.89401674253,0,2023-01-19,227.7286
MSFT,2023-01-21,buy,230.60549672799934,402,100.0,1.9698,2116.5145320867887,402,2023-01-20,235.8684
MSFT,2023-01-24,buy,238.10716720376797,8,100.0,0.99,210.6671944566449,410,2023-01-23,238.1857
MSFT,2023-02-17,sell,255.32907797023947,410,-100.0,2.009,104893.58016225482,0,2023-02-16,258.0459
MSFT,2023-03-15,buy,255.9098791139241,408,100.0,1.9991999999999999,480.350283773776,408,2023-03-14,256.7072
MSFT,2023-03-16,buy,261.05795597031135,1,100.0,0.99,218.30232780346466,409,2023-03-15,261.2844
MSFT,2023-04-10,final_sell,284.8594,409,100.0,2.0040999999999998,116723.79282780345,0,,
NFLX,2023-01-07,buy,311.57,316,100.0,1.5484,1542.331600000005,316,2023-01-06,315.55
NFLX,2023-01-10,buy,311.07,4,100.0,0.99,297.061600000005,320,2023-01-09,315.17
NFLX,2023-01-20,sell,336.79,320,-100.0,1.568,108068.2936,0,2023-01-19,315.78
NFLX,2023-01-21,buy,336.79,315,100.0,1.5434999999999999,1977.900099999999,315,2023-01-20,342.5
NFLX,2023-01-24,buy,357.53,5,100.0,0.99,189.26009999999906,320,2023-01-23,357.42
NFLX,2023-02-07,sell,358.51,320,-100.0,1.568,114910.8921,0,2023-02-06,361.48
NFLX,2023-02-08,buy,360.02,316,100.0,1.5484,1143.0237000000052,316,2023-02-07,362.95
NFLX,2023-02-09,buy,372.41,3,100.0,0.99,24.803700000005165,319,2023-02-08,366.83
NFLX,2023-02-11,sell,359.16,319,-100.0,1.5631,114595.28060000001,0,2023-02-10,347.36
NFLX,2023-02-16,buy,355.0,317,100.0,1.5533,2058.727300000013,317,2023-02-15,361.42
NFLX,2023-02-17,sell,347.905,317,-100.0,1.5533,112343.05900000001,0,2023-02-16,350.71
NFLX,2023-03-24,buy,320.63,350,100.0,1.7149999999999999,120.84400000001187,350,2023-03-23,320.37
NFLX,2023-04-10,final_sell,338.99,350,100.0,1.7149999999999999,118765.62900000002,0,,
TSLA,2022-12-02,buy,191.78,513,100.0,2.5137,1614.3463000000047,513,2022-12-01,194.7
TSLA,2022-12-03,buy,191.78,8,100.0,0.99,79.11630000000468,521,2022-12-02,194.86
TSLA,2022-12-06,sell,181.215,521,-100.0,2.5528999999999997,94489.57840000001,0,2022-12-05,182.45
TSLA,2023-01-19,buy,127.26,733,100.0,3.5917,1204.4067000000068,733,2023-01-18,128.78
TSLA,2023-01-21,buy,128.68,9,100.0,0.99,45.296700000006695,742,2023-01-20,133.42
TSLA,2023-02-22,sell,197.93,742,-100.0,3.6357999999999997,146905.72090000001,0,2023-02-21,197.37
