ticker,date,type,price,quantity,position_pct,commission,cash_after,shares_after,signal_date,signal_price
MSFT,2023-04-10,final_sell,284.8594,397,100.0,1.9453,113236.48403793044,0,,
NFLX,2022-10-22,buy,268.95,345,100.0,1.6905,7210.559500000003,345,2022-10-21,289.57
NFLX,2022-10-25,buy,286.95,25,100.0,0.99,35.819500000003245,370,2022-10-24,282.45
NFLX,2022-11-05,sell,272.02,370,-100.0,1.813,100681.4065,0,2022-11-04,260.79
NFLX,2022-11-11,buy,274.47,366,100.0,1.7933999999999999,223.59309999999823,366,2022-11-10,274.97
NFLX,2022-11-29,sell,282.5,366,-100.0,1.7933999999999999,103616.7997,0,2022-11-28,281.17
NFLX,2022-12-01,buy,303.99,339,100.0,1.6611,562.5286000000051,339,2022-11-30,305.53
NFLX,2022-12-02,buy,310.49,1,100.0,0.99,251.04860000000508,340,2022-12-01,316.95
NFLX,2022-12-16,sell,288.76,340,-100.0,1.666,98427.7826,0,2022-12-15,290.41
NFLX,2023-01-05,buy,307.0,318,100.0,1.5582,800.2244000000064,318,2023-01-04,309.41
NFLX,2023-01-06,buy,311.57,2,100.0,0.99,176.09440000000643,320,2023-01-05,309.7
NFLX,2023-02-11,sell,359.16,320,-100.0,1.568,115105.72640000001,0,2023-02-10,347.36
NFLX,2023-02-16,buy,355.0,318,100.0,1.5582,2214.1682000000146,318,2023-02-15,361.42
NFLX,2023-02-17,sell,347.905,318,-100.0,1.5582,112846.40000000001,0,2023-02-16,350.71
NFLX,2023-03-25,buy,320.63,343,100.0,1.6806999999999999,2868.629300000015,343,2023-03-24,328.39
NFLX,2023-03-28,buy,326.06,8,100.0,0.99,259.15930000001526,351,2023-03-27,327.66
NFLX,2023-04-10,final_sell,338.99,351,100.0,1.7199,119242.92940000002,0,,
TSLA,2022-10-20,buy,208.28,450,100.0,2.205,6271.794999999998,450,2022-10-19,222.04
TSLA,2022-10-21,sell,206.415,450,-100.0,2.205,99156.34,0,2022-10-20,207.28
TSLA,2022-10-26,buy,219.4,445,100.0,2.1805,1521.1594999999943,445,2022-10-25,222.415
TSLA,2022-10-27,buy,229.77,6,100.0,0.99,141.54949999999417,451,2022-10-26,224.64
TSLA,2022-11-03,sell,211.36,451,-100.0,2.2098999999999998,95462.69959999999,0,2022-11-02,214.98
TSLA,2022-12-02,buy,191.78,490,100.0,2.401,1488.0985999999975,490,2022-12-01,194.7
TSLA,2022-12-03,buy,191.78,7,100.0,0.99,144.6485999999975,497,2022-12-02,194.86
TSLA,2022-12-06,sell,181.215,497,-100.0,2.4353,90206.0683,0,2022-12-05,182.45
TSLA,2023-01-19,buy,127.26,700,100.0,3.4299999999999997,1120.638300000006,700,2023-01-18,128.78
TSLA,2023-01-21,buy,128.68,8,100.0,0.99,90.20830000000592,708,2023-01-20,133.42
TSLA,2023-03-03,sell,194.795,708,-100.0,3.4692,138001.5991,0,2023-03-02,190.9
TSLA,2023-03-24,buy,191.65,717,100.0,3.5133,585.0357999999833,717,2023-03-23,192.22
TSLA,2023-03-25,buy,191.65,3,100.0,0.99,9.095799999983228,720,2023-03-24,190.41
TSLA,2023-04-06,sell,183.08,720,-100.0,3.528,131823.1678,0,2023-04-05,185.52
