date,open,close,high,low,volume,adjusted_close
2023-03-13,167.455,174.48,177.35,163.91,167790297,174.48
2023-03-14,177.31,183.26,183.8,177.1401,143717906,183.26
2023-03-15,180.8,180.45,182.34,176.03,145995594,180.45
2023-03-16,180.365,184.13,185.81,178.84,121374492,184.13
2023-03-17,184.515,180.13,186.2199,177.33,133197109,180.13
2023-03-20,178.08,183.25,186.44,176.35,129684398,183.25
2023-03-21,188.28,197.58,198.0,188.04,153391391,197.58
2023-03-22,199.3,191.15,200.66,190.95,150376406,191.15
2023-03-23,195.26,192.22,199.31,188.65,144193906,192.22
2023-03-24,191.65,190.41,192.36,187.15,116531602,190.41
2023-03-27,194.415,191.81,197.39,189.94,120851602,191.81
2023-03-28,192.0,189.19,192.35,185.43,98654641,189.19
2023-03-29,193.13,193.88,195.29,189.44,123660000,193.88
2023-03-30,195.58,195.28,197.33,194.42,110252203,195.28
2023-03-31,197.53,207.46,207.79,197.2,170222094,207.46
2023-04-03,199.91,194.77,202.6897,192.2,169545906,194.77
2023-04-04,197.32,192.58,198.7446,190.32,126463797,192.58
2023-04-05,190.515,185.52,190.68,183.76,133882500,185.52
2023-04-06,183.08,185.06,186.39,179.74,123857906,185.06
2023-04-10,179.94,184.51,185.1,176.11,142154594,184.51
