date,open,close,high,low,volume,adjusted_close
2022-12-05,93.05,91.01,94.06,90.82,71535531,91.01
2022-12-06,90.5,88.25,91.04,87.9,75503633,88.25
2022-12-07,88.34,88.46,89.89,87.48,68086883,88.46
2022-12-08,89.24,90.35,90.86,87.88,73305891,90.35
2022-12-09,88.9,89.09,90.3,88.63,67398516,89.09
2022-12-12,89.21,90.55,90.58,87.87,61999762,90.55
2022-12-13,95.23,92.49,96.25,90.52,100212000,92.49
2022-12-14,92.502,91.58,93.4581,89.87,70298008,91.58
2022-12-15,89.89,88.45,89.97,87.47,84802883,88.45
2022-12-16,88.265,87.86,89.35,86.73,146144094,87.86
2022-12-19,87.51,84.92,87.63,84.51,83531453,84.92
2022-12-20,85.33,85.19,86.61,84.33,74348305,85.19
2022-12-21,86.175,86.77,87.225,85.21,59267160,86.77
2022-12-22,85.52,83.79,85.68,82.25,81431312,83.79
2022-12-23,83.25,85.25,85.78,82.9344,57433660,85.25
2022-12-27,84.97,83.04,85.35,83.0,57284039,83.04
2022-12-28,82.8,81.82,83.48,81.69,58228578,81.82
2022-12-29,82.87,84.18,84.55,82.55,54995898,84.18
2022-12-30,83.12,84.0,84.05,82.47,62401191,84.0
2023-01-03,85.46,85.82,86.96,84.205,76706039,85.82
2023-01-04,86.55,85.14,86.98,83.36,68885117,85.14
2023-01-05,85.33,83.12,85.42,83.07,67930828,83.12
2023-01-06,83.03,86.08,86.4,81.43,83303359,86.08
2023-01-09,87.46,87.36,89.48,87.08,65266059,87.36
2023-01-10,87.57,89.87,90.185,87.29,67756602,89.87
2023-01-11,90.93,95.09,95.26,90.93,103126203,95.09
2023-01-12,96.93,95.27,97.19,93.5,85254781,95.27
2023-01-13,94.18,98.12,98.37,94.12,85549430,98.12
2023-01-17,98.68,96.05,98.89,95.73,72755000,96.05
2023-01-18,97.25,95.46,99.32,95.38,79570367,95.46
2023-01-19,94.74,93.68,95.44,92.86,69002656,93.68
2023-01-20,93.86,97.25,97.354,93.2025,67481539,97.25
2023-01-23,97.56,97.52,97.78,95.86,76501102,97.52
2023-01-24,96.93,96.32,98.09,96.0,66929445,96.32
2023-01-25,92.56,97.18,97.24,91.52,94261570,97.18
2023-01-26,98.235,99.22,99.49,96.92,68523562,99.22
2023-01-27,99.53,102.24,103.485,99.53,87775609,102.24
2023-01-30,101.09,100.55,101.74,99.01,70691859,100.55
2023-01-31,101.155,103.13,103.3484,101.14,66527250,103.13
2023-02-01,102.53,105.15,106.24,101.24,80450117,105.15
2023-02-02,110.245,112.91,114.0,108.88,158154203,112.91
2023-02-03,105.26,103.39,108.78,102.52,144374797,103.39
2023-02-06,102.925,102.18,103.9484,100.65,81945203,102.18
2023-02-07,101.17,102.11,102.41,98.08,119501297,102.11
2023-02-08,102.04,100.05,102.6699,98.775,75878305,100.05
2023-02-09,101.32,98.24,101.78,97.57,64622488,98.24
2023-02-10,97.56,97.61,98.8163,96.23,52740129,97.61
2023-02-13,97.85,99.54,99.68,96.91,52841461,99.54
2023-02-14,98.41,99.7,100.9207,97.52,56202898,99.7
2023-02-15,99.09,101.16,101.17,98.45,48053879,101.16
2023-02-16,99.21,98.15,100.63,98.1,56339168,98.15
2023-02-17,97.8,97.2,97.94,95.65,60029406,97.2
2023-02-21,95.335,94.58,95.605,94.27,56580359,94.58
2023-02-22,95.1,95.79,97.01,94.8,59534090,95.79
2023-02-23,96.12,95.82,96.43,93.67,48466992,95.82
2023-02-24,93.53,93.5,94.14,92.3186,57053809,93.5
2023-02-27,94.28,93.76,94.78,93.14,47470320,93.76
2023-02-28,93.14,94.23,94.69,92.92,43959289,94.23
2023-03-01,93.87,92.17,94.68,91.59,52299520,92.17
2023-03-02,91.41,92.13,92.23,90.39,55574820,92.13
2023-03-03,92.74,94.9,94.94,92.66,55759609,94.9
2023-03-06,95.19,93.75,96.545,93.74,52112359,93.75
2023-03-07,94.06,93.55,95.09,92.78,49100672,93.55
2023-03-08,93.6,93.92,94.165,92.18,44899129,93.92
2023-03-09,93.68,92.25,96.21,92.18,56218711,92.25
2023-03-10,92.67,90.73,93.57,90.245,69827484,90.73
2023-03-13,89.97,92.43,94.02,88.12,72397047,92.43
2023-03-14,93.83,94.88,95.07,92.71,60912672,94.88
2023-03-15,93.22,96.2,96.67,93.07,70731789,96.2
2023-03-16,95.75,100.04,100.99,95.61,84558930,100.04
2023-03-17,99.79,98.95,100.66,97.455,87300242,98.95
2023-03-20,98.41,97.71,98.48,95.7,62388910,97.71
2023-03-21,98.14,100.61,100.845,98.0,58597281,100.61
2023-03-22,100.45,98.7,102.1,98.61,57475367,98.7
2023-03-23,100.43,98.71,101.06,97.62,57559312,98.71
2023-03-24,98.065,98.13,98.3,96.4,56144801,98.13
2023-03-27,99.07,98.04,99.34,97.08,46721301,98.04
2023-03-28,98.11,97.24,98.44,96.29,38720047,97.24
2023-03-29,98.69,100.25,100.4218,98.56,49783281,100.25
2023-03-30,101.55,102.0,103.04,101.01,53633398,102.0
2023-03-31,102.16,103.29,103.49,101.95,56750320,103.29
2023-04-03,102.3,102.41,103.29,101.43,41135727,102.41
2023-04-04,102.75,103.95,104.2,102.11,48662500,103.95
2023-04-05,103.91,101.1,103.91,100.7506,45175391,101.1
2023-04-06,100.75,102.06,102.3817,99.8008,43808020,102.06
2023-04-10,100.96,102.17,102.2,99.57,37261191,102.17
